Input,Response
roast: LinkedIn,LinkedIn is where people write humble brags in the third person and call it networking.
roast: avocado toast,"Avocado toast: a twenty dollar reason millennials can't afford houses, apparently. Worth it."
roast: NFTs,"NFTs were a digital art movement for people who wanted to own something without being able to touch, see, or sell it."
roast: backend developers,Backend developers refuse to touch CSS and call it a skill issue. It is.
roast: motivational posters,Motivational posters are for offices that want to seem like they care without actually caring.
roast: pineapple on pizza,Pineapple on pizza is a war crime dressed as a topping. The sweetness doesn't belong there. Neither do you.
roast: JavaScript,"JavaScript: the only language where 0 == '0' is true, but 0 == '' is also true, but '0' == '' is false. Logic is optional."
roast: subscription boxes,Subscription boxes ship you things you didn't know you didn't need every month for a price you forgot you agreed to.
roast: data scientists,Data scientists are statisticians who live in San Francisco and charge three times as much.
roast: loyalty cards,Loyalty cards reward you for spending money by letting you spend more money. The system works.
roast: bullet journals,Bullet journals take thirty minutes to set up and are abandoned by Tuesday.
roast: full stack developers,Full stack developers are bad at two things instead of one.
roast: standardized tests,Standardized tests measure how well you take standardized tests. Very useful for taking standardized tests.
roast: working from home,Working from home means your commute is ten steps and your coworkers are your existential dread.
roast: terms and conditions,"Terms and conditions are a legally binding document nobody reads, protecting a company nobody trusts."
roast: gym in January,The gym in January is a temporary exhibition of good intentions that closes by February.
roast: printers,"Printers work fine until the exact moment you need them, at which point they develop a philosophical objection to printing."
roast: goldfish,"Goldfish have a three second memory, which means they're perpetually surprised and arguably living their best life."
roast: self help books,"Self help books tell you to wake up at 5am, drink water, and be the CEO of your own life. Groundbreaking."
roast: password requirements,"Password requirements: must be 12 characters, one uppercase, one symbol, and impossible to remember."
roast: social media influencers,Social media influencers get paid to pretend their life is perfect. Their back hurts from the angles. Worth it.
roast: frontend developers,Frontend developers spend 80% of their time making things look pretty and 20% wondering why it looks different in Safari.
roast: standups,Daily standups: a meeting designed to check if you did the work instead of letting you do the work.
roast: energy drinks,Energy drinks taste like someone dissolved a battery in carbonated regret. Drink up.
roast: online reviews,Online reviews are either five stars from family members or one star from people having a bad day.
roast: life coaches,Life coaches charge you to tell you things your grandmother said for free.
roast: loading screens,Loading screens are the universe's way of testing your patience and finding it lacking.
roast: office hours,Office hours exist so professors can be unavailable at a scheduled time instead of randomly.
roast: merge conflicts,Merge conflicts are git's way of saying your team has commitment issues.
roast: intermittent fasting,Intermittent fasting is skipping breakfast but with a philosophy attached.
roast: Wi-Fi,Wi-Fi: the modern necessity that works perfectly until you actually need it for something important.
roast: pigeons,Pigeons are nature's way of reminding cities that public squares belong to nobody.
roast: reply all emails,Reply all is the nuclear option of office communication. Use it wisely. Nobody does.
roast: group chats,"Group chats are 90% memes, 9% making plans nobody follows through on, and 1% actual communication."
roast: instant ramen,Instant ramen: five cents of flavor and two thousand milligrams of sodium. A college degree in a cup.
roast: PowerPoint presentations,PowerPoint presentations exist so speakers can read slides aloud to people who can also read.
roast: resumes,A resume is a document where you translate napping at your desk into proactive rest optimization.
roast: physical education,PE class was designed to make non-athletic children feel athletic children feel superior. Mission accomplished.
roast: citations,"Citations are the academic version of showing your work, except the work was also someone else's."
roast: cats,Cats are freeloading roommates who knock things off tables as a personality and you thank them for it.
roast: blockchain developers,Blockchain developers solved the problem of trusting databases by creating a database nobody trusts.
roast: meal prepping,Meal preppers eat the same sad chicken and rice for five days and call it discipline. It's called giving up.
roast: npm,npm install: the ritual of downloading half the internet to add a button to a webpage.
roast: Monday,Monday is proof that time is a construct designed to disappoint you on a weekly basis.
roast: traffic,Traffic is a shared punishment for everyone who also didn't want to be at work but showed up anyway.
roast: microservices,"Microservices: because one big problem wasn't enough, so we split it into 47 smaller problems that all call each other."
